USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root             47927   0.1  0.3 410381920  24928   ??  Ss   11:10PM   2:05.53 /usr/libexec/PerfPowerServices
root             11108   0.0  0.1 410330480   8912   ??  Ss    1:31PM   0:00.05 /usr/sbin/spindump
root             11107   0.0  0.3 411635072  25072   ??  Ss    1:31PM   0:00.13 /Applications/OneDrive.app/Contents/StandaloneUpdaterDaemon.xpc/Contents/MacOS/StandaloneUpdaterDaemon
root             11105   0.0  0.1 410345312  10112   ??  Ss    1:31PM   0:00.11 /usr/libexec/amfid
jinurung         11096   0.0  0.1 410295456   6544   ??  S     1:30PM   0:00.08 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
jinurung         11095   0.0  0.2 410360512  19232   ??  S     1:30PM   0:00.41 /usr/libexec/adprivacyd
root             11090   0.0  0.0 410162912   2208   ??  Ss    1:30PM   0:00.13 /usr/libexec/sysmond
root             11089   0.0  0.1 410327104  10000   ??  Ss    1:30PM   0:00.53 /usr/libexec/findmybeaconingd
jinurung         11088   0.0  0.1 410363712  11680   ??  S     1:29PM   0:00.08 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
root             11078   0.0  0.2 410304416  13168   ??  Ss    1:27PM   0:00.17 /usr/libexec/wifip2pd
jinurung         11077   0.0  0.1 410194976   7472   ??  S     1:27PM   0:00.03 /usr/sbin/BTLEServerAgent
jinurung         11076   0.0  0.3 410376224  24512   ??  S     1:27PM   0:00.19 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
jinurung         11073   0.0  0.1 410364032  11760   ??  S     1:27PM   0:00.05 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
jinurung         11072   0.0  0.2 410459088  17296   ??  S     1:27PM   0:00.08 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
jinurung         11071   0.0  0.3 411230560  26960   ??  S     1:27PM   0:01.19 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
jinurung         11069   0.0  0.2 410359680  14768   ??  S     1:27PM   0:00.16 /usr/libexec/intelligentroutingd
jinurung         11067   0.0  0.1 410640240   8736   ??  S     1:26PM   0:00.04 /usr/libexec/SidecarRelay
root             11066   0.0  0.1 410355360   8400   ??  Ss    1:26PM   0:00.07 /usr/sbin/WirelessRadioManagerd
jinurung         11065   0.0  0.2 410357040  20544   ??  S     1:26PM   0:00.16 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
jinurung         11063   0.0  0.1 410325712  11040   ??  S     1:26PM   0:00.07 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
root             11062   0.0  0.1 410327776  11280   ??  Ss    1:26PM   0:00.10 /usr/libexec/ospredictiond
jinurung         11056   0.0  0.2 410342544  17568   ??  S     1:26PM   0:00.44 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
jinurung         11055   0.0  0.2 410329424  13536   ??  S     1:26PM   0:00.23 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
jinurung         11052   0.0  0.0 410304576   2672   ??  S     1:26PM   0:00.05 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
jinurung         11050   0.0  0.7 410690240  54544   ??  Ss    1:26PM   0:06.73 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
_softwareupdate  11048   0.0  0.0 410312768   2528   ??  S     1:26PM   0:00.04 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
_softwareupdate  11046   0.0  0.0 410294304   2224   ??  S     1:26PM   0:00.06 /usr/sbin/cfprefsd agent
_softwareupdate  11045   0.0  0.1 410181792   4400   ??  S     1:26PM   0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
_softwareupdate  11044   0.0  0.6 410690032  53424   ??  Ss    1:26PM   0:06.91 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
_nsurlsessiond   11043   0.0  0.0 411146528   3792   ??  Ss    1:26PM   0:00.16 /System/Library/PrivateFrameworks/StreamingZip.framework/Versions/A/XPCServices/com.apple.StreamingUnzipService.privileged.xpc/Contents/MacOS/com.apple.StreamingUnzipService.privileged
_assetcache      11041   0.0  0.1 410331056  10240   ??  Ss    1:25PM   0:00.14 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
root             11039   0.0  0.1 410918912   7056   ??  Ss    1:25PM   0:00.07 /private/var/db/com.apple.xpc.roleaccountd.staging/exec/16777229.39054486.xpc/Contents/MacOS/com.apple.NRD.UpdateBrainService
root             11040   0.0  0.0 410294320   1760   ??  Ss    1:25PM   0:00.04 /usr/libexec/xpcroleaccountd -launchd
_softwareupdate  11038   0.0  0.1 410332192  11776   ??  Ss    1:25PM   0:00.16 /usr/libexec/NRDUpdated
jinurung         11037   0.0  0.0 410162672   2640   ??  S     1:25PM   0:00.02 /System/Library/PrivateFrameworks/IASUtilities.framework/Versions/A/Resources/installerauthagent
root             11034   0.0  0.1 410330592   8064   ??  Ss    1:25PM   0:00.12 /usr/libexec/symptomsd-diag
root             11033   0.0  0.1 410327648   6816   ??  Ss    1:25PM   0:00.04 /usr/libexec/sysdiagnosed
jinurung         11032   0.0  0.3 410467728  20976   ??  S     1:25PM   0:00.18 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
jinurung         11025   0.0  0.1 410196224   9936   ??  S     1:25PM   0:00.07 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
jinurung         11024   0.0  0.1 410327872   9184   ??  S     1:25PM   0:00.08 /System/Library/PrivateFrameworks/PodcastServices.framework/XPCServices/PodcastContentService.xpc/Contents/MacOS/PodcastContentService
root             11023   0.0  0.1 410294368   5792   ??  Ss    1:25PM   0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdsync -s mdworker-scan -c MDSSyncScanWorker -m com.apple.metadata.mds.scan
jinurung         11022   0.0  0.2 410362624  13936   ??  Ss    1:25PM   0:00.10 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
root             11019   0.0  0.0 410293760   2656   ??  Ss    1:25PM   0:00.05 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
root             11018   0.0  0.1 410163344   5200   ??  Ss    1:25PM   0:00.04 /usr/libexec/tzd
jinurung         11017   0.0  0.2 410834384  16896   ??  S     1:25PM   0:00.05 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
jinurung         11016   0.0  0.2 410988704  18384   ??  S     1:25PM   0:00.36 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
jinurung         11015   0.0  0.1 410337216  10640   ??  S     1:25PM   0:00.30 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
jinurung         11014   0.0  0.2 410510560  15248   ??  S     1:25PM   0:00.61 /System/Library/Frameworks/FinanceKit.framework/financed
root             11013   0.0  0.0 410641120   4128   ??  Ss    1:25PM   0:00.02 /System/Library/PrivateFrameworks/AutomationMode.framework/automationmode-writer
root             11012   0.0  0.1 410294336   6656   ??  Ss    1:25PM   0:00.16 /usr/libexec/triald_system
jinurung         11006   0.0  0.1 410333216  11040   ??  S     1:25PM   0:00.06 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent --launchd
jinurung         11005   0.0  0.3 410384400  26912   ??  S     1:25PM   0:00.58 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
root             10994   0.0  0.1 410294320   5616   ??  Ss    1:25PM   0:00.06 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
jinurung         10993   0.0  0.1 410294336   8592   ??  S     1:25PM   0:00.04 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
root             10992   0.0  0.1 410294320   5584   ??  Ss    1:25PM   0:00.06 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
root             10991   0.0  0.1 410295360   4656   ??  Ss    1:25PM   0:00.09 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root             10990   0.0  0.1 410326800   9680   ??  Ss    1:25PM   0:00.28 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
_softwareupdate  10988   0.0  0.1 410329088   7856   ??  Ss    1:25PM   0:00.38 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
root             10987   0.0  0.0 410163248   3936   ??  Ss    1:25PM   0:00.06 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
jinurung         10986   0.0  0.3 410364768  22496   ??  S     1:25PM   0:07.96 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
jinurung         10984   0.0  0.2 410326080  15568   ??  S     1:25PM   0:00.37 /usr/libexec/promotedcontentd
root             10983   0.0  0.1 410328160   7744   ??  Ss    1:25PM   0:04.11 /usr/libexec/ASPCarryLog
jinurung         10973   0.0  0.2 410353232  20544   ??  S     1:25PM   0:01.05 /usr/libexec/transparencyd
jinurung         10971   0.0  0.3 410348592  25568   ??  S     1:25PM   0:00.76 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
root             10970   0.0  0.1 410295392   7600   ??  Ss    1:25PM   0:00.05 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
root             10965   0.0  0.1 410155056   7296   ??  Ss    1:25PM   0:00.03 /usr/libexec/microstackshot
jinurung         10969   0.0  0.2 414857424  20512   ??  S     1:25PM   0:00.36 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
jinurung         10966   0.0  0.3 410343664  21872   ??  S     1:25PM   0:00.57 /usr/libexec/tipsd
_softwareupdate  10967   0.0  0.3 414755072  21168   ??  Ss    1:25PM   0:11.90 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
jinurung         10959   0.0  0.1 410327248   7104   ??  S     1:25PM   0:00.33 /usr/libexec/proactiveeventtrackerd
jinurung         10957   0.0  0.3 410342864  21472   ??  S     1:25PM   0:00.34 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
jinurung         10952   0.0  0.1 410592512   9328   ??  Ss    1:25PM   0:00.09 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
jinurung         10950   0.0  0.4 410388816  32848   ??  S     1:25PM   0:00.71 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
root             10947   0.0  0.1 410326112  11728   ??  Ss    1:25PM   0:00.09 /usr/libexec/powerdatad
_neuralengine    10946   0.0  0.1 410328112   5184   ??  Ss    1:25PM   0:00.07 /usr/libexec/aneuserd
jinurung         10943   0.0  0.2 410325824  14640   ??  S     1:25PM   0:00.07 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
jinurung         10944   0.0  0.1 410354000  11440   ??  S     1:25PM   0:01.62 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
jinurung         10940   0.0  0.1 410328176  10608   ??  S     1:25PM   0:00.12 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
jinurung         10938   0.0  0.1 410632832  11360   ??  S     1:25PM   0:00.27 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
